"","employees","salaries_2017","adjustments","salaries_2018","raise"
"1","Employee 1",343132.404419594,2236.90104205161,345369.305461645,TRUE
"2","Employee 2",320967.24927891,-3458.39503919706,317508.854239713,FALSE
"3","Employee 3",322948.06195423,8420.19265750423,331368.254611734,TRUE
"4","Employee 4",288364.471681416,638.751329388469,289003.223010805,TRUE
"5","Employee 5",291881.931573153,9817.67344055697,301699.60501371,TRUE
"6","Employee 6",289939.721170813,7326.69682358392,297266.417994397,TRUE
"7","Employee 7",317872.707718052,2022.35241071321,319895.060128765,TRUE
"8","Employee 8",85425.9969620034,-2046.39435862191,83379.6026033815,FALSE
"9","Employee 9",476114.577096887,1527.9341279529,477642.51122484,TRUE
"10","Employee 10",361478.194068186,1978.92274241894,363457.116810605,TRUE
"11","Employee 11",334325.528866611,6663.24803722091,340988.776903832,TRUE
"12","Employee 12",267153.825415298,-709.589306497946,266444.2361088,FALSE
"13","Employee 13",282498.293453828,4229.8244452104,286728.117899038,TRUE
"14","Employee 14",476159.07962434,-4740.14990613796,471418.929718202,FALSE
"15","Employee 15",105348.667372018,6523.09698984027,111871.764361858,TRUE
"16","Employee 16",376047.340179794,1847.42283192463,377894.763011718,TRUE
"17","Employee 17",289871.940216981,3062.70128930919,292934.64150629,TRUE
"18","Employee 18",268515.906925313,-3758.73591401614,264757.171011297,FALSE
"19","Employee 19",254079.511505552,4320.22093096748,258399.732436519,TRUE
"20","Employee 20",139753.021644428,-3722.92597894557,136030.095665483,FALSE
"21","Employee 21",55977.531070821,9676.30471568555,65653.8357865065,TRUE
"22","Employee 22",368595.225922763,-3327.79298070818,365267.432942055,FALSE
"23","Employee 23",87169.5915609598,5718.59555318952,92888.1871141493,TRUE
"24","Employee 24",154497.926579788,-1241.05437891558,153256.872200873,FALSE
"25","Employee 25",283785.182330757,2512.70031905733,286297.882649815,TRUE
"26","Employee 26",390799.511242658,4930.28635741211,395729.79760007,TRUE
"27","Employee 27",133501.097331755,9360.43457011692,142861.531901872,TRUE
"28","Employee 28",271094.323913567,1835.09617461823,272929.420088185,TRUE
"29","Employee 29",319911.079523154,-4055.21575245075,315855.863770703,FALSE
"30","Employee 30",346926.418095827,543.381570605561,347469.799666433,TRUE
"31","Employee 31",80581.2989780679,-3131.68685883284,77449.6121192351,FALSE
"32","Employee 32",269162.314450368,4150.25630267337,273312.570753042,TRUE
"33","Employee 33",292161.02689039,5420.00818648376,297581.035076873,TRUE
"34","Employee 34",478697.941238061,9541.09632293694,488239.037560998,TRUE
"35","Employee 35",77189.9484843016,5755.69830252789,82945.6467868295,TRUE
"36","Employee 36",368725.566710345,-4017.12648803368,364708.440222312,FALSE
"37","Employee 37",474453.152511269,3289.30993564427,477742.462446913,TRUE
"38","Employee 38",382156.499326229,-1988.57676237822,380167.922563851,FALSE
"39","Employee 39",417617.334593087,7444.46553871967,425061.800131807,TRUE
"40","Employee 40",338640.2683286,-2771.72668720596,335868.541641394,FALSE
"41","Employee 41",483644.131845795,4650.16809175722,488294.299937552,TRUE
"42","Employee 42",394929.070859216,-3113.35005564615,391815.72080357,FALSE
"43","Employee 43",380654.172976501,-1895.60714061372,378758.565835888,FALSE
"44","Employee 44",344298.837711103,9423.75756450929,353722.595275613,TRUE
"45","Employee 45",192703.426349908,6509.87520464696,199213.301554555,TRUE
"46","Employee 46",69680.3164388984,8562.04309384339,78242.3595327418,TRUE
"47","Employee 47",238372.729178518,3061.06110103428,241433.790279552,TRUE
"48","Employee 48",341453.291815706,4238.94391744398,345692.23573315,TRUE
"49","Employee 49",201448.614737019,-1045.34818558022,200403.266551439,FALSE
"50","Employee 50",409377.167504281,2239.39227638766,411616.559780668,TRUE
"51","Employee 51",198892.140933312,5995.838312665,204887.979245977,TRUE
"52","Employee 52",313019.490404986,6809.58929471672,319829.079699703,TRUE
"53","Employee 53",323876.764578745,4917.22779232077,328793.992371066,TRUE
"54","Employee 54",395125.684924424,9909.73637788557,405035.421302309,TRUE
"55","Employee 55",376197.414207272,9127.06408184022,385324.478289112,TRUE
"56","Employee 56",62279.5393224806,362.435143906623,62641.9744663872,TRUE
"57","Employee 57",327658.260804601,4598.38448790833,332256.645292509,TRUE
"58","Employee 58",223377.841310576,2242.1501216013,225619.991432177,TRUE
"59","Employee 59",161948.076048866,4104.27231574431,166052.34836461,TRUE
"60","Employee 60",44927.4879042059,-4374.40317939036,40553.0847248156,FALSE
"61","Employee 61",110795.273995027,-1571.16804621182,109224.105948815,FALSE
"62","Employee 62",176606.229357421,9757.8774986323,186364.106856054,TRUE
"63","Employee 63",223453.453569673,7614.14566426538,231067.599233938,TRUE
"64","Employee 64",55342.7304141223,5859.72391651012,61202.4543306325,TRUE
"65","Employee 65",64082.0082649589,7405.56165808812,71487.569923047,TRUE
"66","Employee 66",497268.754639663,2698.63865454681,499967.39329421,TRUE
"67","Employee 67",439668.727922253,-4860.31829030253,434808.409631951,FALSE
"68","Employee 68",293149.888226762,9549.77596527897,302699.664192041,TRUE
"69","Employee 69",127799.869398586,1866.94422503933,129666.813623626,TRUE
"70","Employee 70",200080.471248366,-731.58145765774,199348.889790708,FALSE
"71","Employee 71",329496.459970251,1936.72201829031,331433.181988541,TRUE
"72","Employee 72",348472.11886663,6318.49893485196,354790.617801482,TRUE
"73","Employee 73",298298.963941634,2614.5306287799,300913.494570414,TRUE
"74","Employee 74",389267.135686241,2298.88615198433,391566.021838225,TRUE
"75","Employee 75",169995.530694723,4720.182006713,174715.712701436,TRUE
"76","Employee 76",384003.12892627,598.201843677089,384601.330769947,TRUE
"77","Employee 77",338977.103456855,1572.14266713709,340549.246123992,TRUE
"78","Employee 78",347001.748248003,-1183.83548106067,345817.912766943,FALSE
"79","Employee 79",348369.509596378,8889.28708387539,357258.796680253,TRUE
"80","Employee 80",262716.099973768,5639.6470812615,268355.747055029,TRUE
"81","Employee 81",273628.134056926,-2578.81957106292,271049.314485863,FALSE
"82","Employee 82",60863.8124074787,7695.59380132705,68559.4062088057,TRUE
"83","Employee 83",493774.549826048,714.503931812942,494489.053757861,TRUE
"84","Employee 84",342246.522926725,3236.07643367723,345482.599360403,TRUE
"85","Employee 85",416766.777513549,548.606381053105,417315.383894602,TRUE
"86","Employee 86",77562.1027778834,8979.19768816791,86541.3004660513,TRUE
"87","Employee 87",104585.236883722,-3563.64197330549,101021.594910417,FALSE
"88","Employee 88",177219.755146652,288.465826306492,177508.220972959,TRUE
"89","Employee 89",384290.504627861,4479.65330327861,388770.15793114,TRUE
"90","Employee 90",239978.360212408,7797.59707511403,247775.957287522,TRUE
"91","Employee 91",451541.406973265,-4287.18050476164,447254.226468503,FALSE
"92","Employee 92",175065.638534725,7666.95549944416,182732.594034169,TRUE
"93","Employee 93",271281.829052605,-3573.81203677505,267708.01701583,FALSE
"94","Employee 94",130371.846873313,8062.16683704406,138434.013710357,TRUE
"95","Employee 95",250043.224319816,8412.85745147616,258456.081771292,TRUE
"96","Employee 96",248856.377047487,7592.72254654206,256449.099594029,TRUE
"97","Employee 97",341556.53427355,-4505.19606587477,337051.338207675,FALSE
"98","Employee 98",124779.323926196,-1184.60252298974,123594.721403206,FALSE
"99","Employee 99",140908.451587893,2646.58971107565,143555.041298969,TRUE
"100","Employee 100",469848.304209299,9916.19302425534,479764.497233555,TRUE
